   position        avgx        avgy        avgz        stdx        stdy        stdt        avgG    nemixrms    nemiyrms    nemirrms        rmax 
 5.500e-01 -8.881e-08 -1.127e-06  5.500e-01  3.633e-03  3.632e-03  4.322e-10  1.684e+00  5.758e-06  5.645e-06  5.701e-06  8.310e-03 
 5.000e-01  5.412e-08 -1.304e-06  5.000e-01  3.849e-03  3.847e-03  4.321e-10  1.684e+00  5.325e-06  5.220e-06  4.916e-06  8.944e-03 
 4.500e-01  1.877e-07 -1.480e-06  4.500e-01  4.092e-03  4.089e-03  4.320e-10  1.684e+00  1.037e-05  1.033e-05  4.146e-06  9.618e-03 
 4.000e-01  2.512e-07 -1.671e-06  4.000e-01  4.356e-03  4.352e-03  4.320e-10  1.684e+00  5.952e-05  5.951e-05  3.484e-06  1.038e-02 
 3.500e-01 -7.102e-08 -1.843e-06  3.500e-01  4.532e-03  4.525e-03  4.319e-10  1.684e+00  2.052e-04  2.052e-04  2.943e-06  1.090e-02 
 3.000e-01 -5.725e-07 -1.676e-06  3.000e-01  4.212e-03  4.205e-03  4.319e-10  1.684e+00  1.238e-04  1.238e-04  2.601e-06  1.020e-02 
 2.500e-01 -5.905e-07 -1.486e-06  2.500e-01  3.603e-03  3.598e-03  4.319e-10  1.684e+00  1.767e-05  1.770e-05  2.730e-06  8.758e-03 
 2.000e-01 -4.184e-07 -1.374e-06  2.000e-01  3.001e-03  2.996e-03  4.318e-10  1.684e+00  3.939e-06  3.984e-06  3.018e-06  7.322e-03 
 1.800e-01 -3.402e-07 -1.334e-06  1.800e-01  2.769e-03  2.765e-03  4.318e-10  1.684e+00  3.358e-06  3.394e-06  3.151e-06  6.770e-03 
 1.500e-01 -2.203e-07 -1.275e-06  1.500e-01  2.433e-03  2.430e-03  4.318e-10  1.684e+00  3.348e-06  3.364e-06  3.348e-06  5.955e-03 
 1.300e-01 -1.382e-07 -1.235e-06  1.300e-01  2.219e-03  2.217e-03  4.317e-10  1.683e+00  3.469e-06  3.474e-06  3.471e-06  5.424e-03 
 1.100e-01 -5.732e-08 -1.195e-06  1.100e-01  2.014e-03  2.011e-03  4.317e-10  1.683e+00  3.579e-06  3.574e-06  3.576e-06  4.904e-03 
 9.000e-02  2.246e-08 -1.157e-06  9.000e-02  1.819e-03  1.818e-03  4.317e-10  1.679e+00  3.668e-06  3.654e-06  3.661e-06  4.401e-03 
 7.000e-02  1.047e-07 -1.130e-06  7.000e-02  1.650e-03  1.649e-03  4.317e-10  1.656e+00  3.726e-06  3.703e-06  3.714e-06  3.948e-03 
 5.000e-02  2.053e-07 -1.176e-06  5.000e-02  1.587e-03  1.586e-03  4.317e-10  1.509e+00  3.734e-06  3.704e-06  3.719e-06  3.732e-03 
 3.000e-02  3.489e-07 -1.297e-06  3.000e-02  1.622e-03  1.621e-03  4.317e-10  1.274e+00  3.693e-06  3.655e-06  3.674e-06  3.707e-03 
 2.000e-02  4.334e-07 -1.357e-06  2.000e-02  1.643e-03  1.643e-03  4.317e-10  1.167e+00  3.637e-06  3.593e-06  3.615e-06  3.674e-03 
 1.000e-02  5.056e-07 -1.396e-06  1.000e-02  1.658e-03  1.658e-03  4.317e-10  1.075e+00  3.305e-06  3.262e-06  3.283e-06  3.574e-03 
 0.000e+00  2.204e-06 -2.055e-06 -6.527e-23  1.652e-03  1.653e-03  4.330e-10  1.000e+00  2.299e-07  2.306e-07  2.302e-07  3.305e-03 
                                                                                                                        
