       x [in]         y [in]         z [in]    Bx [Vs/m^2]    By [Vs/m^2]    Bz [Vs/m^2]  
     -0.84058      -0.361053       -19.8142  -3.30237e-022   -4.0945e-005  -1.80744e-005
     -0.84058      -0.361053        -19.711   3.48598e-022  -4.31525e-005  -6.39729e-006
     -0.84058      -0.361053       -19.6078    -5.717e-022  -4.31731e-005   6.41649e-006
     -0.84058      -0.361053       -19.5047              0  -4.09833e-005   1.81314e-005
     -0.84058      -0.361053       -19.4015              0  -3.68809e-005   2.70453e-005
     -0.84058      -0.361053       -19.2984  -4.61219e-022  -3.17031e-005   3.17386e-005
     -0.84058      -0.361053       -19.1952  -7.29617e-023    -2.643e-005    3.2444e-005
     -0.84058      -0.361053        -19.092  -2.20073e-022  -2.12729e-005   2.95098e-005
     -0.84058      -0.361053       -18.9889   -4.8937e-022  -1.70754e-005   2.39714e-005
     -0.84058      -0.361053       -18.8857  -3.59439e-022   -1.4003e-005   1.67481e-005
     -0.84058      -0.361053       -18.7826   3.80142e-022  -1.21449e-005   8.56803e-006
     -0.84058      -0.361053       -18.6794  -5.02441e-022  -1.15009e-005              0
     -0.84058      -0.257895       -20.6394              0  -9.46988e-006              0
     -0.84058      -0.257895       -20.5363  -5.50944e-022  -1.00098e-005  -9.72568e-006
     -0.84058      -0.257895       -20.4331   6.35203e-022  -1.15506e-005    -1.908e-005
     -0.84058      -0.257895       -20.3299  -1.71618e-022   -1.4193e-005  -2.74275e-005
     -0.84058      -0.257895       -20.2268   2.87283e-023  -1.78226e-005  -3.39223e-005
     -0.84058      -0.257895       -20.1236              0  -2.21727e-005  -3.75642e-005
     -0.84058      -0.257895       -20.0205              0  -2.69706e-005   -3.6934e-005
     -0.84058      -0.257895       -19.9173   4.46151e-022  -3.13802e-005  -3.13405e-005
     -0.84058      -0.257895       -19.8142              0  -3.49912e-005  -2.12134e-005
     -0.84058      -0.257895        -19.711  -2.93469e-021  -3.69654e-005  -7.53588e-006
     -0.84058      -0.257895       -19.6078              0  -3.70721e-005     7.472e-006
     -0.84058      -0.257895       -19.5047  -2.03645e-021  -3.49722e-005   2.12101e-005
     -0.84058      -0.257895       -19.4015   1.80814e-021  -3.15311e-005   3.14585e-005
     -0.84058      -0.257895       -19.2984  -2.85198e-022  -2.69569e-005   3.68942e-005
     -0.84058      -0.257895       -19.1952              0  -2.21626e-005    3.7475e-005
     -0.84058      -0.257895        -19.092   9.23982e-023  -1.78021e-005   3.39585e-005
     -0.84058      -0.257895       -18.9889   2.68428e-022  -1.42295e-005   2.74354e-005
     -0.84058      -0.257895       -18.8857  -8.69467e-022  -1.15779e-005   1.90685e-005
     -0.84058      -0.257895       -18.7826  -2.12371e-022  -9.98746e-006   9.73085e-006
     -0.84058      -0.257895       -18.6794              0  -9.44806e-006   1.42498e-009
     -0.84058      -0.154737       -20.6394              0  -6.22764e-006              0
     -0.84058      -0.154737       -20.5363              0   -6.5801e-006  -1.06357e-005
     -0.84058      -0.154737       -20.4331   2.33098e-022  -7.67106e-006   -2.0852e-005
     -0.84058      -0.154737       -20.3299  -5.22768e-023  -9.45817e-006   -3.0104e-005
     -0.84058      -0.154737       -20.2268   1.08066e-023  -1.19164e-005  -3.73839e-005
     -0.84058      -0.154737       -20.1236   1.73989e-022  -1.49928e-005  -4.14607e-005
     -0.84058      -0.154737       -20.0205  -4.58168e-022  -1.81673e-005  -4.09357e-005
     -0.84058      -0.154737       -19.9173  -4.02921e-022  -2.12708e-005  -3.50298e-005
     -0.84058      -0.154737       -19.8142  -2.71511e-021  -2.37221e-005  -2.36318e-005
     -0.84058      -0.154737        -19.711              0  -2.50487e-005  -8.43126e-006
     -0.84058      -0.154737       -19.6078  -3.53941e-021  -2.49991e-005   8.37639e-006
     -0.84058      -0.154737       -19.5047  -5.57481e-022  -2.36694e-005   2.37073e-005
     -0.84058      -0.154737       -19.4015  -5.31309e-022  -2.12531e-005   3.49899e-005
     -0.84058      -0.154737       -19.2984   1.27577e-021  -1.81298e-005   4.09672e-005
     -0.84058      -0.154737       -19.1952   9.55744e-022  -1.49418e-005   4.14533e-005
     -0.84058      -0.154737        -19.092  -3.92407e-023  -1.19179e-005   3.73633e-005
     -0.84058      -0.154737       -18.9889  -2.42004e-022   -9.4228e-006    3.0095e-005
     -0.84058      -0.154737       -18.8857              0  -7.67818e-006   2.08503e-005
     -0.84058      -0.154737       -18.7826  -2.23422e-022  -6.58879e-006   1.06353e-005
     -0.84058      -0.154737       -18.6794              0  -6.20969e-006              0
     -0.84058     -0.0515789       -20.6394              0  -2.16453e-006              0
     -0.84058     -0.0515789       -20.5363  -5.43742e-022  -2.28441e-006  -1.11592e-005
     -0.84058     -0.0515789       -20.4331              0  -2.66531e-006  -2.19062e-005
     -0.84058     -0.0515789       -20.3299   2.96915e-022   -3.3201e-006  -3.15524e-005
     -0.84058     -0.0515789       -20.2268  -7.79491e-023  -4.14965e-006   -3.9326e-005
     -0.84058     -0.0515789       -20.1236   4.86452e-022  -5.20813e-006  -4.36292e-005
     -0.84058     -0.0515789       -20.0205  -1.75203e-021  -6.31618e-006  -4.33412e-005
     -0.84058     -0.0515789       -19.9173   6.78971e-022  -7.39944e-006  -3.69646e-005
     -0.84058     -0.0515789       -19.8142   7.97226e-022  -8.37075e-006  -2.49612e-005
     -0.84058     -0.0515789        -19.711   -2.4787e-021  -8.88304e-006  -8.84586e-006
     -0.84058     -0.0515789       -19.6078   2.85284e-021  -8.87124e-006   8.89724e-006
     -0.84058     -0.0515789       -19.5047  -1.27462e-021  -8.39099e-006   2.50454e-005
     -0.84058     -0.0515789       -19.4015  -8.35706e-022  -7.41743e-006   3.70729e-005
     -0.84058     -0.0515789       -19.2984   5.61809e-022  -6.42136e-006   4.31494e-005
     -0.84058     -0.0515789       -19.1952   1.47369e-022  -5.31603e-006   4.37856e-005
     -0.84058     -0.0515789        -19.092   1.50516e-022  -4.16411e-006   3.93302e-005
     -0.84058     -0.0515789       -18.9889              0   -3.3136e-006   3.15504e-005
     -0.84058     -0.0515789       -18.8857              0  -2.67215e-006   2.18565e-005
     -0.84058     -0.0515789       -18.7826   3.33467e-022  -2.30867e-006   1.11209e-005
     -0.84058     -0.0515789       -18.6794              0  -2.17325e-006              0
     -0.84058      0.0515789       -20.6394              0   2.16968e-006              0
     -0.84058      0.0515789       -20.5363    -4.374e-022   2.30175e-006  -1.11264e-005
     -0.84058      0.0515789       -20.4331    1.7103e-022   2.66753e-006  -2.18735e-005
     -0.84058      0.0515789       -20.3299    2.4562e-022   3.32846e-006  -3.16403e-005
     -0.84058      0.0515789       -20.2268   5.36331e-023    4.2008e-006  -3.92898e-005
     -0.84058      0.0515789       -20.1236   1.24356e-022   5.32257e-006  -4.38743e-005
     -0.84058      0.0515789       -20.0205   2.16771e-022   6.41414e-006  -4.31934e-005
     -0.84058      0.0515789       -19.9173              0   7.51826e-006  -3.68653e-005
     -0.84058      0.0515789       -19.8142              0   8.40099e-006  -2.50056e-005
     -0.84058      0.0515789        -19.711  -6.44203e-021   8.83098e-006  -8.82317e-006
     -0.84058      0.0515789       -19.6078   1.86723e-021   8.86776e-006    8.8946e-006
     -0.84058      0.0515789       -19.5047  -3.08795e-021   8.37989e-006   2.50357e-005
     -0.84058      0.0515789       -19.4015   -9.9305e-022   7.54843e-006   3.69899e-005
     -0.84058      0.0515789       -19.2984  -1.60622e-021   6.39426e-006   4.31802e-005
     -0.84058      0.0515789       -19.1952   2.97405e-022   5.50685e-006   4.38052e-005
     -0.84058      0.0515789        -19.092    8.7006e-024   4.12785e-006   3.92259e-005
     -0.84058      0.0515789       -18.9889     9.162e-023   3.30077e-006   3.15854e-005
     -0.84058      0.0515789       -18.8857   9.83918e-023   2.65997e-006     2.185e-005
     -0.84058      0.0515789       -18.7826              0   2.29241e-006    1.1125e-005
     -0.84058      0.0515789       -18.6794              0    2.1637e-006              0
     -0.84058       0.154737       -20.6394   -2.0796e-009    6.2032e-006   9.71616e-022
     -0.84058       0.154737       -20.5363  -1.29378e-022   6.56455e-006  -1.06277e-005
     -0.84058       0.154737       -20.4331  -1.97587e-022   7.65632e-006  -2.08527e-005
     -0.84058       0.154737       -20.3299   1.12814e-022   9.45074e-006   -3.0093e-005
     -0.84058       0.154737       -20.2268   8.58442e-023   1.18614e-005  -3.73775e-005
     -0.84058       0.154737       -20.1236   1.07944e-022   1.49634e-005  -4.14824e-005
     -0.84058       0.154737       -20.0205   -2.0245e-022   1.81578e-005  -4.09547e-005
     -0.84058       0.154737       -19.9173   2.69467e-021   2.12391e-005  -3.49515e-005
